parish_jails,roster_url
Acadia Parish,http://acadia.lavns.org
Allen Parish,http://allen.lavns.org
Ascension Parish,http://ascension.lavns.org
Assumption Parish,http://assumption.lavns.org
Avoyelles Parish,http://avoyelles.lavns.org
Beauregard Parish,http://beauregard.lavns.org
Bienville Parish,http://bienville.lavns.org
Bossier Parish,http://bossier.lavns.org
Caddo Parish,http://caddo.lavns.org
Calcasieu Parish,http://calcasieu.lavns.org
Caldwell Parish,http://caldwell.lavns.org
Cameron Parish,http://cameron.lavns.org
Catahoula Parish,http://catahoula.lavns.org
Claiborne Parish,http://claiborne.lavns.org
Concordia Parish,http://concordia.lavns.org
DeSoto Parish,http://desoto.lavns.org
East Baton Rouge Parish,http://eastbatonrouge.lavns.org
East Feliciana Parish,http://eastfeliciana.lavns.org
Evangeline Parish,http://evangeline.lavns.org
Franklin Parish,http://franklin.lavns.org
Grant Parish,http://grant.lavns.org
Iberia Parish,http://iberia.lavns.org
Iberville Parish,http://iberville.lavns.org
Jackson Parish,http://jackson.lavns.org
Jefferson Parish,http://jefferson.lavns.org
Jefferson Davis Parish,http://jeffersondavis.lavns.org
Lafayette Parish,http://lafayette.lavns.org
Lafourche Parish,http://lafourche.lavns.org
LaSalle Parish,http://lasalle.lavns.org
Lincoln Parish,http://lincoln.lavns.org
Livingston Parish,http://livingston.lavns.org
Madison Parish,http://madison.lavns.org
Morehouse Parish,http://morehouse.lavns.org
Natchitoches Parish,http://natchitoches.lavns.org
Orleans Parish,http://orleans.lavns.org
Ouachita Parish,http://ouachita.lavns.org
Plaquemines Parish,http://plaquemines.lavns.org
Pointe Coupee Parish,http://pointecoupee.lavns.org
Rapides Parish,http://rapides.lavns.org
Red River Parish,http://redriver.lavns.org
Richland Parish,http://richland.lavns.org
Sabine Parish,http://sabine.lavns.org
St. Bernard Parish,http://stbernard.lavns.org
St. Charles Parish,http://stcharles.lavns.org
St. Helena Parish,http://sthelena.lavns.org
St. James Parish,http://stjames.lavns.org
St. John the Baptist Parish,http://stjohn.lavns.org
St. Landry Parish,http://stlandry.lavns.org
St. Martin Parish,http://stmartin.lavns.org
St. Mary Parish,http://stmary.lavns.org
St. Tammany Parish,http://sttammany.lavns.org
Tangipahoa Parish,http://tangipahoa.lavns.org
Tensas Parish,http://tensas.lavns.org
Terrebonne Parish,http://terrebonne.lavns.org
Union Parish,http://union.lavns.org
Vermillion Parish,http://vermilion.lavns.org
Vernon Parish,http://vernon.lavns.org
Washington Parish,http://washington.lavns.org
Webster Parish,http://webster.lavns.org
West Baton Rouge Parish,http://westbatonrouge.lavns.org
West Carroll Parish,http://westcarroll.lavns.org
West Felician Parish,http://westfeliciana.lavns.org
Winn Parish,http://winn.lavns.org
Bogalusa Police Department,http://bogalusa.lavns.org
Bossier City Police Department,http://bossierpd.lavns.org
Dequincy Police Department,http://dequincy.lavns.org
Eunice Police Department,http://eunice.lavns.org
Hammond Police Department,http://hammond.lavns.org
Kinder Police Department,http://kinder.lavns.org
Leesville Police Department,http://leesville.lavns.org
Monroe Police Department,http://monroe.lavns.org
Oakdale Police Department,http://oakdale.lavns.org
Opelousas Police Department,http://opelousas.lavns.org 
Patterson Police Department,http://patterson.lavns.org
Rayne Police Department,http://rayne.lavns.org
Shreveport Police Department,http://shreveport.lavns.org
Slidell Police Department,http://slidell.lavns.org
Sulphur Police Department,http://sulphur.lavns.org 
Ville Platte Police Department,http://villeplatte.lavns.org
Winnfield Police Department,http://winnfield.lavns.org
